"(1.34794020652771, 22.597625732421875, 1.0)","(1.3515183925628662, 16.123748779296875, 1.0)"
"(1.34794020652771, 22.597625732421875, 1.0)","(1.3515183925628662, 16.123748779296875, 1.0)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(1.3515183925628662, 16.123748779296875, 0.9977049231529236)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(1.3515183925628662, 16.123748779296875, 0.9977049231529236)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(1.3515183925628662, 16.123748779296875, 0.9977049231529236)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(1.3515183925628662, 16.123748779296875, 0.9977049231529236)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(1.3515183925628662, 16.123748779296875, 0.9977049231529236)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(1.3515183925628662, 16.123748779296875, 0.9977049231529236)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(1.3515183925628662, 16.123748779296875, 0.9977049231529236)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(1.3515183925628662, 16.123748779296875, 0.9977049231529236)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(1.3515183925628662, 16.123748779296875, 0.9977049231529236)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(1.3515183925628662, 16.123748779296875, 0.9977049231529236)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(1.3515183925628662, 16.123748779296875, 0.9977049231529236)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(2.0565764904022217, 15.695744514465332, 1.013630986213684)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(2.8394691944122314, 15.220361709594727, 1.022549033164978)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(3.6223230361938477, 14.745003700256348, 1.0205780267715454)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(4.405137538909912, 14.269668579101562, 1.007718563079834)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(5.1823015213012695, 13.79759407043457, 0.9982078671455383)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(5.94277286529541, 13.339522361755371, 1.0177901983261108)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(6.700508117675781, 12.883939743041992, 1.0328673124313354)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(7.458205699920654, 12.428380012512207, 1.0370550155639648)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(8.215865135192871, 11.972843170166016, 1.0303537845611572)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(8.97348690032959, 11.517329216003418, 1.01276433467865)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(9.722640991210938, 11.067371368408203, 1.00527024269104)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(10.459762573242188, 10.625978469848633, 1.0164363384246826)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(11.196847915649414, 10.184608459472656, 1.0167131423950195)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(11.9338960647583, 9.743260383605957, 1.006101369857788)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(12.663259506225586, 9.307341575622559, 1.0035521984100342)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(13.383190155029297, 8.878891944885254, 1.0131447315216064)"
"(1.34794020652771, 22.597625732421875, 0.9977049231529236)","(14.103084564208984, 8.45046329498291, 1.011847972869873)"
"(1.599470853805542, 22.54409408569336, 0.9977046251296997)","(14.821885108947754, 8.022856712341309, 1.0022653341293335)"
"(2.471621513366699, 22.35845184326172, 0.9977049231529236)","(15.531474113464355, 7.602176189422607, 1.0043857097625732)"
"(3.339271306991577, 22.173763275146484, 0.9977049231529236)","(16.240100860595703, 7.18209981918335, 0.9979214668273926)"
"(4.202419757843018, 21.99002456665039, 0.9977049231529236)","(16.94175910949707, 6.765987873077393, 0.9978638887405396)"
"(5.058164119720459, 21.80872917175293, 1.003281593322754)","(17.6319522857666, 6.3588995933532715, 1.0138531923294067)"
"(5.913360595703125, 21.627647399902344, 0.9991334676742554)","(18.322111129760742, 5.951832294464111, 1.0189530849456787)"
"(6.761247158050537, 21.448577880859375, 0.9977049231529236)","(19.012235641479492, 5.544785022735596, 1.0131640434265137)"
"(7.603731632232666, 21.270776748657227, 0.9977821111679077)","(19.701393127441406, 5.138271331787109, 0.998825192451477)"
"(8.4415922164917, 21.09403419494629, 0.9977049231529236)","(20.376676559448242, 4.740686416625977, 1.0077298879623413)"
"(9.274874687194824, 20.91826629638672, 0.9977238774299622)","(21.049468994140625, 4.345025539398193, 1.0116573572158813)"
"(10.103537559509277, 20.743574142456055, 0.9975109696388245)","(21.722227096557617, 3.949384927749634, 1.004696011543274)"
"(10.927536964416504, 20.569854736328125, 0.997684121131897)","(22.353748321533203, 3.7120988368988037, 1.0081311464309692)"
"(11.747097969055176, 20.397066116333008, 0.9977027177810669)","(22.834016799926758, 4.1007280349731445, 1.051796555519104)"
"(12.562162399291992, 20.225215911865234, 0.9977046847343445)","(23.31426239013672, 4.489337921142578, 1.0845710039138794)"
