"(1.270423412322998, 22.674999237060547, 0.9977049827575684)","(1.1429446935653687, 22.675107955932617, 1.0)"
"(1.270423412322998, 22.674999237060547, 0.9977049827575684)","(1.1429446935653687, 22.675107955932617, 1.0)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.1429446935653687, 22.675161361694336, 0.997463047504425)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.1429446935653687, 22.675424575805664, 0.9974572062492371)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.1429446935653687, 22.67586326599121, 0.9974473714828491)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.1429446935653687, 22.67647933959961, 0.9974331855773926)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.1429446935653687, 22.677274703979492, 0.9974142909049988)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.1429446935653687, 22.678258895874023, 0.99739009141922)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.1429446935653687, 22.6794376373291, 0.9973598122596741)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.1429446935653687, 22.68082046508789, 0.9973225593566895)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.1429446935653687, 22.682418823242188, 0.997277021408081)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.1429446935653687, 22.68424415588379, 0.9972219467163086)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.1429446935653687, 22.686311721801758, 0.9971555471420288)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.1429446935653687, 22.68861961364746, 0.9973958134651184)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.1429446935653687, 22.69098472595215, 0.9976717233657837)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.264612078666687, 22.649213790893555, 0.9978135824203491)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(1.6899205446243286, 22.49727439880371, 0.9977049231529236)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(2.1111953258514404, 22.34679412841797, 0.9977049231529236)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(2.5284762382507324, 22.197755813598633, 0.9977049231529236)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(2.941763401031494, 22.050161361694336, 0.9977049231529236)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(3.3510565757751465, 21.904010772705078, 0.9977049231529236)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(3.756075859069824, 21.759553909301758, 0.9983741641044617)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(4.157563209533691, 21.61649513244629, 0.9977049231529236)"
"(1.270423412322998, 19.21168327331543, 0.9977049827575684)","(4.554800033569336, 21.475061416625977, 0.9977049231529236)"
