"(1.301163673400879, 15.598356246948242, 1.0)","(1.3515183925628662, 19.527969360351562, 1.0)"
"(1.301163673400879, 15.598356246948242, 1.0)","(1.3515183925628662, 19.527969360351562, 1.0)"
"(1.301163673400879, 15.598356246948242, 1.0)","(1.3515183925628662, 19.527969360351562, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(1.3515183925628662, 19.527969360351562, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(1.3515183925628662, 19.527969360351562, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(1.3515183925628662, 19.527969360351562, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(1.3515183925628662, 19.527969360351562, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(1.3515183925628662, 19.527969360351562, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(1.3515183925628662, 19.527969360351562, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(1.3515183925628662, 19.527969360351562, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(1.3515183925628662, 19.527969360351562, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(1.3515183925628662, 19.527969360351562, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(1.3515183925628662, 19.527969360351562, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(1.3515183925628662, 19.527969360351562, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(1.823462963104248, 19.380035400390625, 0.9977042078971863)"
"(1.301163673400879, 15.598356246948242, 1.0)","(2.304661750793457, 19.22910499572754, 0.9977048635482788)"
"(1.301163673400879, 15.598356246948242, 1.0)","(2.7814197540283203, 19.079557418823242, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(3.253737211227417, 18.9313907623291, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(3.721614360809326, 18.784605026245117, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(4.1850080490112305, 18.639219284057617, 0.9978052973747253)"
"(1.301163673400879, 15.598356246948242, 1.0)","(4.644044876098633, 18.495214462280273, 0.997665524482727)"
"(1.301163673400879, 15.598356246948242, 1.0)","(5.09857177734375, 18.352611541748047, 0.9977006912231445)"
"(1.301163673400879, 15.598356246948242, 1.0)","(5.548673629760742, 18.21138572692871, 0.9977045059204102)"
"(1.301163673400879, 15.598356246948242, 1.0)","(5.994338035583496, 18.0715389251709, 0.9977048635482788)"
"(1.301163673400879, 15.598356246948242, 1.0)","(6.43556547164917, 17.93307113647461, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(6.872355937957764, 17.795984268188477, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(7.304536819458008, 17.660367965698242, 0.9977954626083374)"
"(1.301163673400879, 15.598356246948242, 1.0)","(7.732070446014404, 17.526287078857422, 0.9976182579994202)"
"(1.301163673400879, 15.598356246948242, 1.0)","(8.155065536499023, 17.39361572265625, 0.9976956248283386)"
"(1.301163673400879, 15.598356246948242, 1.0)","(8.573526382446289, 17.262374877929688, 0.9977049231529236)"
"(1.301163673400879, 15.598356246948242, 1.0)","(8.987473487854004, 17.132553100585938, 0.9977049231529236)"
"(1.3115427494049072, 15.598356246948242, 1.0)","(9.396985054016113, 17.004106521606445, 0.9977049231529236)"
"(1.3425079584121704, 15.598356246948242, 1.0)","(9.802062034606934, 16.877037048339844, 0.9977049231529236)"
"(1.3938018083572388, 15.598356246948242, 1.0)","(10.202704429626465, 16.7513427734375, 0.9977049231529236)"
"(1.4651665687561035, 15.598356246948242, 1.0)","(10.598913192749023, 16.627025604248047, 0.9977049231529236)"
"(1.5563442707061768, 15.598356246948242, 1.0)","(10.990689277648926, 16.50408363342285, 0.9977049231529236)"
"(1.6670775413513184, 15.598356246948242, 1.0)","(11.37802791595459, 16.382549285888672, 0.9977049231529236)"
"(1.7971082925796509, 15.598356246948242, 1.0)","(11.760934829711914, 16.26239013671875, 0.9977049231529236)"
"(1.9461791515350342, 15.598356246948242, 1.0)","(12.139409065246582, 16.143604278564453, 0.9977049231529236)"
"(2.114032030105591, 15.598356246948242, 1.0)","(12.513450622558594, 16.026193618774414, 0.9977049231529236)"
"(2.3004095554351807, 15.598356246948242, 1.0)","(12.883113861083984, 15.910140037536621, 0.9975753426551819)"
