"(1.270423412322998, 17.22498321533203, 0.9977049827575684)","(1.1429446935653687, 22.084178924560547, 1.0)"
"(1.270423412322998, 17.22498321533203, 0.9977049827575684)","(1.1429446935653687, 22.084178924560547, 1.0)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(1.8054020404815674, 21.851211547851562, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(2.462012767791748, 21.620616912841797, 0.9997733235359192)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(3.1157095432281494, 21.39157485961914, 0.9978781342506409)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(3.764244556427002, 21.16539764404297, 0.9986773729324341)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(4.409421443939209, 20.94061851501465, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(5.050229549407959, 20.71735954284668, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(5.6870269775390625, 20.49549674987793, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(6.319814205169678, 20.27503204345703, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(6.948591232299805, 20.05596351623535, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(7.572932243347168, 19.838829040527344, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(8.192926406860352, 19.62327766418457, 0.9982878565788269)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(8.809056282043457, 19.409278869628906, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(9.420958518981934, 19.196748733520508, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(10.028849601745605, 18.98560905456543, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(10.632728576660156, 18.775863647460938, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(11.231691360473633, 18.56810188293457, 0.9993489384651184)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(11.827725410461426, 18.36147689819336, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(12.419140815734863, 18.156448364257812, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(13.006207466125488, 17.95299530029297, 0.9983729720115662)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(13.589356422424316, 17.751331329345703, 0.9977725744247437)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(14.168293952941895, 17.55112075805664, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(14.743003845214844, 17.3524169921875, 0.9982007741928101)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(15.314038276672363, 17.15528678894043, 0.9977049231529236)"
"(1.270423412322998, 17.22498321533203, 0.9977049231529236)","(15.880873680114746, 16.9596004486084, 0.9977049231529236)"
"(2.0222506523132324, 16.943946838378906, 0.9977045655250549)","(16.443302154541016, 16.765506744384766, 0.9985231161117554)"
"(2.863224506378174, 16.629493713378906, 0.9977048635482788)","(17.0019588470459, 16.57301902770996, 0.9977049231529236)"
"(3.700218915939331, 16.3165225982666, 0.9977049231529236)","(17.55629539489746, 16.382009506225586, 0.9977049231529236)"
"(4.5300092697143555, 16.007469177246094, 1.0051146745681763)","(18.10661506652832, 16.19237518310547, 0.9977049231529236)"
"(5.358779430389404, 15.699047088623047, 1.00423264503479)","(18.65255355834961, 16.004302978515625, 0.9984663128852844)"
"(6.18563175201416, 15.391335487365723, 0.9977049231529236)","(19.194698333740234, 15.817765235900879, 0.9977049231529236)"
"(7.006115436553955, 15.085984230041504, 0.9977049231529236)","(19.732542037963867, 15.632695198059082, 0.9977049231529236)"
"(7.820719242095947, 14.783890724182129, 1.0014219284057617)","(20.266326904296875, 15.449362754821777, 0.9977049231529236)"
