"(1.1596670150756836, 7.952003479003906, 1.0)","(1.1429446935653687, 5.286676406860352, 1.0)"
"(1.1596670150756836, 7.952003479003906, 1.0)","(1.1429446935653687, 5.286676406860352, 1.0)"
"(1.1596670150756836, 7.951932907104492, 0.9971072673797607)","(1.1429446935653687, 5.286676406860352, 0.9977049231529236)"
"(1.1596670150756836, 7.951592445373535, 0.9975789189338684)","(1.1429446935653687, 5.286676406860352, 0.9977049231529236)"
"(1.1596670150756836, 7.9512434005737305, 0.9976913928985596)","(1.1429446935653687, 5.286676406860352, 0.9977049231529236)"
"(1.1596670150756836, 7.950894355773926, 0.997703492641449)","(1.1429446935653687, 5.286676406860352, 0.9977049231529236)"
"(1.1596670150756836, 7.950545787811279, 0.997704803943634)","(1.1429446935653687, 5.286676406860352, 0.9977049231529236)"
"(1.1596670150756836, 7.950196743011475, 0.9977049231529236)","(1.1429446935653687, 5.286676406860352, 0.9977049231529236)"
"(1.1596670150756836, 7.94984769821167, 0.9977049231529236)","(1.1429446935653687, 5.286676406860352, 0.9977049231529236)"
"(1.1596670150756836, 7.949498653411865, 0.9977049231529236)","(1.1429446935653687, 5.286676406860352, 0.9977049231529236)"
"(1.1596670150756836, 7.949150085449219, 0.9977049231529236)","(1.1429446935653687, 5.286676406860352, 0.9977049231529236)"
"(1.1596670150756836, 7.948801040649414, 0.9977049231529236)","(1.1429446935653687, 5.286676406860352, 0.9977049231529236)"
"(1.1596670150756836, 7.948451995849609, 0.9977049231529236)","(1.1429446935653687, 5.286676406860352, 0.9977049231529236)"
"(1.1596670150756836, 7.948103427886963, 0.9977049231529236)","(1.1429446935653687, 5.286676406860352, 0.9977049231529236)"
"(1.1596670150756836, 7.947754383087158, 0.9977049231529236)","(1.1429446935653687, 5.286676406860352, 0.9977049231529236)"
"(1.1596670150756836, 7.9474053382873535, 0.9977049231529236)","(1.2473698854446411, 5.325990200042725, 0.9977046847343445)"
"(1.1596670150756836, 7.947056293487549, 0.9977049231529236)","(1.6723928451538086, 5.485992908477783, 0.9975415468215942)"
"(1.1596670150756836, 7.946707725524902, 0.9977049231529236)","(2.093324899673462, 5.644467830657959, 0.9976873993873596)"
"(1.1596670150756836, 7.946358680725098, 0.9977049231529236)","(2.510326385498047, 5.801473617553711, 0.9977030754089355)"
"(1.1596670150756836, 7.946009635925293, 0.9977049231529236)","(2.9233546257019043, 5.956995964050293, 0.9977047443389893)"
"(1.1596670150756836, 7.9456610679626465, 0.9977049231529236)","(3.3324055671691895, 6.111032009124756, 0.9977049231529236)"
"(1.1596670150756836, 7.945312023162842, 0.9977049231529236)","(3.737478256225586, 6.2635817527771, 0.9977049231529236)"
"(1.1596670150756836, 7.944962978363037, 0.9977049231529236)","(4.138573169708252, 6.414645195007324, 0.9977049231529236)"
"(1.1596670150756836, 7.944613933563232, 0.9977049231529236)","(4.535689353942871, 6.564222812652588, 0.9977049231529236)"
"(1.1596670150756836, 7.944265365600586, 0.9977049231529236)","(4.928655624389648, 6.712226390838623, 0.9977049231529236)"
"(1.1596670150756836, 7.943916320800781, 0.9977049231529236)","(5.317470550537109, 6.858654975891113, 0.9977049231529236)"
"(1.1596670150756836, 7.943567276000977, 0.9977049231529236)","(5.702225208282471, 7.00350284576416, 0.9977049231529236)"
"(1.1596670150756836, 7.94321870803833, 0.9977049231529236)","(6.082983016967773, 7.146846771240234, 0.9977049231529236)"
"(1.1596670150756836, 7.942869663238525, 0.9977049231529236)","(6.459762096405029, 7.288706302642822, 0.9977049231529236)"
"(1.1596670150756836, 7.942520618438721, 0.9977049231529236)","(6.832562446594238, 7.429080963134766, 0.9977049231529236)"
"(1.1596670150756836, 7.942172050476074, 0.9977049231529236)","(7.2013840675354, 7.5679707527160645, 0.9977049231529236)"
"(1.1596670150756836, 7.9418230056762695, 0.9977049231529236)","(7.566226959228516, 7.705376148223877, 0.9977049231529236)"
"(1.1596670150756836, 7.941473960876465, 0.9977049231529236)","(7.927091598510742, 7.841297149658203, 0.9977049231529236)"
"(1.1596670150756836, 7.94112491607666, 0.9977049231529236)","(8.283960342407227, 7.9757232666015625, 0.9977361559867859)"
"(1.1596670150756836, 7.940776348114014, 0.9977049231529236)","(8.636821746826172, 8.108610153198242, 0.9977049231529236)"
"(1.1596670150756836, 7.940427303314209, 0.9977049231529236)","(8.985692977905273, 8.240009307861328, 0.9977049231529236)"
